id,articleType,baseColour,type_lbl,color_lbl
3016,Tshirts,Beige,tshirt,nude
21883,Kurtas,Pink,tshirt,pink
57189,Tunics,Pink,tshirt,pink
27443,Tshirts,Pink,tshirt,pink
19107,Tshirts,Beige,tshirt,nude
13336,Tops,Pink,tshirt,pink
48509,Tops,Pink,tshirt,pink
56703,Kurtas,Beige,tshirt,nude
12110,Kurtis,Cream,tshirt,white
6589,Tshirts,Black,tshirt,black
40982,Tshirts,White,tshirt,white
44907,Tshirts,Black,tshirt,black
16534,Tops,Pink,tshirt,pink
59361,Kurtas,White,tshirt,white
4766,Tshirts,White,tshirt,white
33242,Shirts,White,tshirt,white
3291,Tshirts,Brown,tshirt,brown
56811,Kurtis,White,tshirt,white
28528,Tshirts,Pink,tshirt,pink
36577,Shirts,Brown,tshirt,brown
34298,Dupatta,Khaki,tshirt,nude
4393,Tshirts,Black,tshirt,black
19835,Shirts,Brown,tshirt,brown
7923,Tshirts,Beige,tshirt,nude
6693,Tshirts,Brown,tshirt,brown
3314,Tshirts,Brown,tshirt,brown
8889,Shirts,Black,tshirt,black
32640,Tshirts,White,tshirt,white
12229,Shirts,White,tshirt,white
13963,Shirts,White,tshirt,white
6777,Shirts,Brown,tshirt,brown
4292,Tshirts,Black,tshirt,black
24165,Kurtis,Pink,tshirt,pink
39718,Tops,Beige,tshirt,nude
8860,Shirts,Brown,tshirt,brown
1673,Tshirts,Black,tshirt,black
20672,Tshirts,Pink,tshirt,pink
44689,Tshirts,Beige,tshirt,nude
42683,Kurtas,White,tshirt,white
26975,Tops,Black,tshirt,black
31732,Blazers,Brown,tshirt,brown
52044,Rain Jacket,Black,tshirt,black
54905,Tshirts,Brown,tshirt,brown
51438,Tops,Off White,tshirt,white
34927,Dupatta,Brown,tshirt,brown
12945,Shirts,Brown,tshirt,brown
43500,Tshirts,White,tshirt,white
34108,Tops,Pink,tshirt,pink
54926,Tshirts,Beige,tshirt,nude
4816,Tshirts,White,tshirt,white
41763,Tops,Beige,tshirt,nude
8817,Shirts,White,tshirt,white
14102,Tops,Brown,tshirt,brown
42198,Tunics,Beige,tshirt,nude
48431,Tshirts,Black,tshirt,black
10418,Tops,Black,tshirt,black
20098,Kurtas,Pink,tshirt,pink
51458,Tops,Black,tshirt,black
13943,Shirts,Brown,tshirt,brown
11043,Shirts,White,tshirt,white
19645,Tops,Brown,tshirt,brown
10764,Tshirts,Black,tshirt,black
32275,Kurtas,Beige,tshirt,nude
30767,Kurtas,Brown,tshirt,brown
6065,Shirts,Pink,tshirt,pink
26044,Shirts,Pink,tshirt,pink
28688,Kurtas,Pink,tshirt,pink
39467,Kurtis,White,tshirt,white
19978,Tshirts,Black,tshirt,black
31574,Tshirts,Beige,tshirt,nude
32597,Tops,Black,tshirt,black
51333,Jackets,Beige,tshirt,nude
25774,Suspenders,Beige,tshirt,nude
43254,Kurtas,Pink,tshirt,pink
25893,Tops,Brown,tshirt,brown
41665,Shirts,Brown,tshirt,brown
18962,Sweatshirts,Pink,sweatshirt,pink
59130,Jackets,Black,tshirt,black
34929,Dupatta,Beige,tshirt,nude
54702,Kurtas,Brown,tshirt,brown
3892,Tshirts,Pink,tshirt,pink
25783,Suspenders,Black,tshirt,black
2171,Tshirts,Brown,tshirt,brown
48072,Tshirts,Black,tshirt,black
32502,Shirts,Brown,tshirt,brown
32199,Kurtas,Beige,tshirt,nude
10858,Tshirts,White,tshirt,white
33151,Tops,Pink,tshirt,pink
30352,Tshirts,Pink,tshirt,pink
10439,Tshirts,Brown,tshirt,brown
22059,Kurtas,Brown,tshirt,brown
42523,Kurtas,Beige,tshirt,nude
39218,Tops,Beige,tshirt,nude
32215,Kurtas,Brown,tshirt,brown
15832,Kurtas,Pink,tshirt,pink
59885,Tops,Beige,tshirt,nude
8460,Tops,Pink,tshirt,pink
57144,Tops,Black,tshirt,black
2787,Tshirts,Black,tshirt,black
22792,Tshirts,White,tshirt,white
9866,Tshirts,Pink,tshirt,pink
32480,Tshirts,Brown,tshirt,brown
2232,Tshirts,White,tshirt,white
7794,Tshirts,Brown,tshirt,brown
22065,Kurtas,Pink,tshirt,pink
54939,Tshirts,Pink,tshirt,pink
30798,Shirts,Beige,tshirt,nude
28642,Tshirts,White,tshirt,white
38629,Tshirts,Black,tshirt,black
13428,Tshirts,White,tshirt,white
13870,Shirts,Beige,tshirt,nude
1942,Tshirts,White,tshirt,white
40574,Kurtas,White,tshirt,white
26937,Tshirts,White,tshirt,white
28616,Tshirts,Black,tshirt,black
51489,Shirts,Beige,tshirt,nude
17937,Tshirts,Black,tshirt,black
28993,Tshirts,White,tshirt,white
19103,Kurtas,Beige,tshirt,nude
48372,Shirts,Brown,tshirt,brown
8394,Tshirts,White,tshirt,white
33063,Shirts,Khaki,tshirt,nude
13158,Tshirts,Pink,tshirt,pink
4790,Tshirts,Brown,tshirt,brown
16388,Shirts,Brown,tshirt,brown
54903,Tshirts,Beige,tshirt,nude
58703,Kurtas,Beige,tshirt,nude
3060,Tshirts,Beige,tshirt,nude
13152,Tshirts,White,tshirt,white
8161,Shirts,White,tshirt,white
50351,Kurtas,Beige,tshirt,nude
12069,Kurtas,White,tshirt,white
40599,Kurtis,Brown,tshirt,brown
7536,Tshirts,White,tshirt,white
14540,Kurtis,Beige,tshirt,nude
57982,Tops,Black,tshirt,black
59421,Tshirts,Black,tshirt,black
39153,Kurtas,Brown,tshirt,brown
27552,Shirts,Black,tshirt,black
22313,Jackets,Black,tshirt,black
44859,Tshirts,Black,tshirt,black
12089,Kurtas,Brown,tshirt,brown
5012,Tops,Pink,tshirt,pink
50330,Kurtas,Brown,tshirt,brown
53399,Kurtas,Off White,tshirt,white
58722,Tshirts,White,tshirt,white
3976,Tops,Cream,tshirt,white
24498,Kurtas,Brown,tshirt,brown
38152,Tshirts,White,tshirt,white
24401,Kurtas,Brown,tshirt,brown
33191,Tunics,Pink,tshirt,pink
20333,Tshirts,Black,tshirt,black
36501,Kurtas,White,tshirt,white
35052,Kurtis,Beige,tshirt,nude
9470,Shirts,White,tshirt,white
24540,Kurtas,Beige,tshirt,nude
36500,Kurtas,Brown,tshirt,brown
31698,Kurtas,Pink,tshirt,pink
22226,Tshirts,Black,tshirt,black
23049,Shirts,White,tshirt,white
25788,Suspenders,Beige,tshirt,nude
22207,Shirts,Pink,tshirt,pink
27883,Tshirts,Pink,tshirt,pink
37610,Tshirts,Pink,tshirt,pink
56701,Kurtas,White,tshirt,white
34264,Dupatta,Pink,tshirt,pink
9252,Shirts,Brown,tshirt,brown
58674,Kurtas,Pink,tshirt,pink
23210,Tops,Brown,tshirt,brown
50327,Kurtas,Brown,tshirt,brown
25537,Shirts,Brown,tshirt,brown
19098,Kurtas,Beige,tshirt,nude
18986,Tshirts,Black,tshirt,black
28740,Tops,White,tshirt,white
28695,Kurtas,Beige,tshirt,nude
24501,Belts,Brown,tshirt,brown
27092,Kurtas,Brown,tshirt,brown
3274,Tshirts,Brown,tshirt,brown
23154,Tshirts,Off White,tshirt,white
3800,Tshirts,Pink,tshirt,pink
27276,Kurtas,Beige,tshirt,nude
30350,Tshirts,Pink,tshirt,pink
59367,Kurtas,Brown,tshirt,brown
37153,Tshirts,Beige,tshirt,nude
11378,Shirts,White,tshirt,white
32412,Tshirts,Black,tshirt,black
2052,Tshirts,Brown,tshirt,brown
13226,Tshirts,Brown,tshirt,brown
6132,Tshirts,White,tshirt,white
36744,Tops,Pink,tshirt,pink
37758,Shirts,White,tshirt,white
23213,Kurtas,White,tshirt,white
20117,Kurtas,Pink,tshirt,pink
5987,Shirts,Black,tshirt,black
4306,Tshirts,Brown,tshirt,brown
54992,Shrug,Beige,tshirt,nude
36826,Kurtas,Brown,tshirt,brown
50355,Kurtas,Brown,tshirt,brown
16143,Tshirts,Pink,tshirt,pink
1910,Tshirts,Black,tshirt,black
6484,Tshirts,Black,tshirt,black
33042,Kurtas,Beige,tshirt,nude
43584,Tops,Pink,tshirt,pink
40571,Kurtas,Beige,tshirt,nude
12495,Tshirts,White,tshirt,white
28715,Kurtas,Beige,tshirt,nude
46256,Tops,Black,tshirt,black
19009,Jackets,White,tshirt,white
19108,Tshirts,Beige,tshirt,nude
2039,Tshirts,White,tshirt,white
6022,Tshirts,Black,tshirt,black
8402,Tshirts,Black,tshirt,black
1949,Tshirts,White,tshirt,white
53785,Shirts,White,tshirt,white
46831,Shirts,Pink,tshirt,pink
24368,Kurtas,Brown,tshirt,brown
38285,Tops,Pink,tshirt,pink
14581,Sweatshirts,Brown,sweatshirt,brown
37782,Shirts,White,tshirt,white
19102,Kurtas,Pink,tshirt,pink
15093,Tunics,Brown,tshirt,brown
38850,Tops,Pink,tshirt,pink
34235,Tshirts,Cream,tshirt,white
3963,Tops,Black,tshirt,black
12606,Tops,Cream,tshirt,white
58565,Tshirts,Black,tshirt,black
40403,Tops,Beige,tshirt,nude
40590,Kurtas,Brown,tshirt,brown
22750,Kurtas,White,tshirt,white
46262,Tops,Beige,tshirt,nude
7212,Tunics,Brown,tshirt,brown
27655,Tshirts,White,tshirt,white
40417,Tops,Beige,tshirt,nude
25853,Kurtas,Beige,tshirt,nude
20329,Kurtas,Black,tshirt,black
35997,Tshirts,Black,tshirt,black
6940,Tshirts,Brown,tshirt,brown
33955,Tshirts,White,tshirt,white
9595,Shirts,Black,tshirt,black
22071,Kurtas,Brown,tshirt,brown
3753,Tshirts,Black,tshirt,black
18752,Tops,Brown,tshirt,brown
42566,Tops,Beige,tshirt,nude
26366,Shirts,Pink,tshirt,pink
58695,Kurtas,Brown,tshirt,brown
4096,Tshirts,Black,tshirt,black
3201,Tshirts,Beige,tshirt,nude
18900,Tops,Black,tshirt,black
50344,Kurtas,Black,tshirt,black
34903,Dupatta,Brown,tshirt,brown
16719,Jackets,Black,tshirt,black
11009,Tshirts,White,tshirt,white
39466,Kurtas,Pink,tshirt,pink
29150,Tops,Off White,tshirt,white
9603,Shirts,Brown,tshirt,brown
4315,Tshirts,Brown,tshirt,brown
10883,Tshirts,Beige,tshirt,nude
28741,Kurtas,Off White,tshirt,white
22319,Tops,Cream,tshirt,white
15477,Tshirts,Black,tshirt,black
34299,Dupatta,Pink,tshirt,pink
7436,Tshirts,Beige,tshirt,nude
33212,Tops,Black,tshirt,black
13239,Tshirts,Brown,tshirt,brown
15098,Kurtas,Brown,tshirt,brown
38943,Shirts,White,tshirt,white
12807,Jackets,Pink,tshirt,pink
12191,Shirts,Brown,tshirt,brown
6275,Tshirts,Pink,tshirt,pink
37286,Tshirts,Brown,tshirt,brown
22317,Jackets,Khaki,tshirt,nude
