segment_id,fold
1678080760,test
1678080820,train
1678080880,train
1678080940,train
1678081480,train
1678082500,train
1678082560,train
1678082620,val
1678082680,train
1678082740,train
1678082800,test
1678082860,train
1678082920,train
1678082980,val
1678083040,test
1678083100,test
1678083160,train
1678083220,val
1678083280,val
1678083340,train
1678083400,train
1678086040,train
1678086100,train
1678086160,train
1678086220,val
1678086340,val
1678086400,test
1678086460,train
1678086520,train
1678086580,train
1678086640,train
1678086700,test
1678086760,val
1678086820,train
1678086880,train
1678086940,train
1678087000,train
1678087960,val
1678088020,train
1678088080,train
1678088140,train
1678088680,train
1678089640,train
1678089700,test
1678089760,train
1678089820,test
1678089880,train
1678089940,train
1678090060,train
1678090120,train
1678090180,train
1678090240,train
1678090300,train
1678090360,test
1678090420,train
1678090480,train
1678090540,val
1678090600,val
1678104220,test
1678104280,train
1678104340,train
1678104400,val
1678104460,test
1678104520,test
1678104580,test
1678104640,train
1678104760,train
1678104880,train
1678104940,train
1678105000,train
1678105960,train
1678106020,train
1678106080,train
1678106140,train
1678106680,test
1678108420,train
1678108480,train
1678109560,train
1678109680,val
1678109740,test
1678110280,train
1678165912,train
1678165972,val
1678166032,train
1678166092,val
1678166152,train
1678167292,train
1678167952,train
1678168852,train
1678169032,train
1678169092,train
1678169152,train
1678169212,train
1678169272,val
1678169332,train
1678169392,train
1678169452,train
1678169512,test
1678169572,train
1678169632,test
1678169692,test
1678169752,train
1678170712,train
1678170892,val
1678171432,val
1678171552,train
1678172452,train
1678172512,train
1678172572,train
1678172632,val
1678172692,train
1678172752,test
1678175032,train
1678176052,train
1678176112,test
1678176172,train
1678176232,test
1678176292,train
1678176352,train
1678176412,train
1678176832,val
1678176892,train
1678176952,train
1678180372,train
1678180432,train
1678180492,test
1678180552,test
1678181512,train
1678181572,train
1678182232,train
1678183252,train
1678183312,val
1678183372,train
1678183492,train
1678183552,train
1678183612,train
1678183672,train
1678183732,val
1678183792,train
1678183852,train
1678183912,val
1678183972,train
1678184032,train
1678184092,train
1678184152,val
1678185112,train
1678185172,test
1678185232,test
1678186852,train
1678186912,train
1678186972,val
1678187032,train
1678187092,train
1678187152,train
1678187212,test
1678187272,test
1678187392,train
1678187452,train
1678187512,train
1678187572,val
1678187632,train
1678187692,train
1678187752,val
1678189432,train
1678190452,train
1678190512,test
1678190572,test
1678190632,train
1678190692,train
1678190752,val
1678190812,train
1678190872,val
1678190932,train
1678190992,train
1678191052,train
1678191112,train
1678191172,train
1678191232,train
1678191292,train
1678191352,val
1678193032,train
1678366849,train
1678366909,test
1678367089,train
1678367149,train
1678367209,train
1678367269,train
1678367329,train
1678367389,test
1678367449,train
1678367509,train
1678367569,train
1678367629,train
1678367689,val
1678367749,train
1678367809,train
1678368769,val
1678368829,train
1678368889,train
1678369489,train
unknown,train
