id,articleType,baseColour,type_lbl,color_lbl
18865,Sweatshirts,Red,sweatshirt,black
14985,Sweatshirts,Blue,sweatshirt,black
15019,Sweatshirts,Black,sweatshirt,black
19146,Sweatshirts,Grey,sweatshirt,black
22222,Tshirts,White,tshirt,white
12652,Tshirts,Blue,tshirt,black
13953,Tshirts,Blue,tshirt,black
16228,Sweatshirts,Grey,sweatshirt,black
19328,Sweatshirts,Maroon,sweatshirt,black
3276,Tshirts,Brown,tshirt,brown
3810,Tshirts,Blue,tshirt,black
10029,Sweatshirts,Navy Blue,sweatshirt,black
7910,Tshirts,Multi,tshirt,black
20200,Tshirts,Grey,sweatshirt,black
17933,Tshirts,Red,tshirt,black
8600,Tshirts,Purple,tshirt,black
36326,Tshirts,Yellow,tshirt,black
21147,Sweatshirts,Grey,sweatshirt,black
17910,Sweatshirts,Black,sweatshirt,black
44371,Tshirts,Purple,tshirt,black
13102,Sweatshirts,White,sweatshirt,white
14306,Sweatshirts,Navy Blue,sweatshirt,black
4814,Tshirts,Black,tshirt,black
24948,Tshirts,Black,tshirt,black
4089,Tshirts,White,tshirt,white
16439,Tshirts,Red,tshirt,black
20249,Tshirts,Purple,tshirt,black
19322,Sweatshirts,Blue,sweatshirt,black
39001,Tshirts,Red,tshirt,black
20201,Sweatshirts,White,sweatshirt,white
24149,Tshirts,Blue,tshirt,black
13833,Sweatshirts,Black,sweatshirt,black
53754,Sweatshirts,Olive,sweatshirt,black
19324,Sweatshirts,Maroon,sweatshirt,black
15599,Sweatshirts,Black,sweatshirt,black
10563,Tshirts,Black,tshirt,black
2786,Tshirts,White,tshirt,white
24304,Sweatshirts,Black,sweatshirt,black
34438,Tshirts,White,tshirt,white
2310,Tshirts,Red,tshirt,black
54948,Sweatshirts,Grey Melange,sweatshirt,black
20211,Sweatshirts,Green,sweatshirt,black
7283,Tshirts,Blue,tshirt,black
14112,Sweatshirts,Green,sweatshirt,black
6092,Tshirts,Grey,tshirt,black
18964,Sweatshirts,Grey,sweatshirt,black
19811,Sweatshirts,Black,sweatshirt,black
54889,Sweatshirts,Olive,sweatshirt,black
